time,Open,High,Low,Close,Volume,Ret_5d,Ret_20d
2014-07-07,627.13,631.0,619.5,619.5,18525910.64620546,0.044001415595139814,0.2706910343978832
2014-07-11,620.05,630.84,615.13,630.84,15836826.82458833,0.07624328243623646,0.4405370843989771
2014-07-15,633.64,633.64,618.21,618.95,10776372.317991683,0.03461821342604976,0.3908988764044945
2014-07-19,614.15,627.02,614.15,626.18,7640657.031253545,-0.018141905135241165,0.4427113333179733
2014-07-23,620.51,620.51,617.94,617.94,9043046.013458895,-0.034890985193977486,0.4066469383109492
2014-07-27,599.81,600.1,590.38,590.38,9300140.74662901,-0.047005649717514086,0.3532135325937471
2014-07-31,585.28,585.28,560.79,583.18,23252091.391060743,-0.07555006023714428,0.3127293190770961
2014-08-03,593.87,593.87,585.57,585.57,9179432.125804095,-0.0539300428144438,0.3192376146168925
2014-08-07,586.37,587.2,582.42,587.2,11942668.461052554,-0.06225047111054316,0.11958511287370355
2014-08-11,590.91,590.91,573.41,573.41,16394404.861505693,-0.0720620124931225,0.006901032520896244
2014-08-15,567.4,567.4,492.28,492.28,31123413.362281278,-0.16616416545275925,-0.20663980660757453
2014-08-19,521.05,521.05,459.89,484.15,45173284.02810885,-0.169810350149182,-0.27454035992028414
2014-08-23,514.19,515.83,496.57,496.57,23986341.558129977,-0.15198866062127503,-0.23805066670758468
2014-08-27,508.11,510.64,500.39,510.45,21505988.92038193,-0.13070504087193469,-0.1898133451844327
2014-08-31,506.92,508.1,480.03,480.03,43358429.758384064,-0.16285031652744109,-0.17719956805676973
2014-09-03,475.82,475.82,474.69,474.73,14233663.71176932,-0.03565044283740948,-0.199969665818433
2014-09-07,489.55,489.55,480.24,480.6,7748654.382831849,-0.007332438293917054,-0.1800733600614176
2014-09-11,471.13,477.11,471.13,476.38,14579193.13186878,-0.04065892019252071,-0.20369751270393155
2014-09-15,473.69,476.0,473.03,473.03,12723496.884358438,-0.07330786560877656,-0.2582830262642102
2014-09-19,462.59,462.59,393.26,393.26,47766762.1622319,-0.18075953586234195,-0.38579996251639903
2014-09-23,408.5,433.75,396.62,433.75,57448184.246617585,-0.08632275188001604,-0.29983857949959647
2014-09-27,420.92,420.92,398.01,398.01,16698720.05207724,-0.1718476903870163,-0.3690793228076851
2014-09-30,375.99,387.35,373.09,387.35,34519038.81008948,-0.18688861832990467,-0.37418208255917285
2014-10-03,380.89,380.89,356.19,356.19,29080111.339532,-0.2470033613090078,-0.4311699511322622
2014-10-07,327.88,331.72,325.11,331.72,43924704.45993865,-0.156486802624218,-0.46318412790885843
2014-10-11,353.39,359.52,353.39,359.52,32266988.405666195,-0.171135446685879,-0.39103628171686033
2014-10-15,374.17,398.29,374.17,392.19,49257724.14281866,-0.014622748172156474,-0.32749751363215474
2014-10-19,379.39,389.12,379.39,386.95,32870166.09728563,-0.0010326578030206424,-0.3391908738494117
2014-10-23,379.77,382.41,356.2,356.2,48354309.486003265,2.8074903843489096e-05,-0.3933923705722071
2014-10-27,354.32,354.32,347.03,348.29,40322147.37977852,0.04995176655010236,-0.39259866413212174
2014-10-31,351.56,351.56,333.15,336.59,30524273.859307867,-0.0637794837561193,-0.3162631022995044
2014-11-03,323.98,324.0,323.98,324.0,40772300.42284785,-0.17386980800122387,-0.3307859134565734
2014-11-07,328.01,347.82,328.01,341.23,40263476.29477718,-0.11815480036180381,-0.3128259862657832
2014-11-11,344.18,366.15,344.18,366.15,45679773.63975148,0.027933745087029838,-0.28269174258007645
2014-11-15,418.58,418.58,377.33,377.33,99179350.3470273,0.0833787935341237,-0.21394496177322253
2014-11-19,387.62,387.62,374.87,376.79,84367865.3742223,0.11943313823940116,-0.20630674278010652
2014-11-23,355.39,366.78,349.39,366.78,71063869.31374641,0.13203703703703695,-0.23682896379525598
2014-11-27,377.74,377.74,365.77,368.45,70974036.26141815,0.07977024294464141,-0.22656282799445826
2014-11-30,376.95,376.95,374.96,376.47,74926943.90674321,0.02818517001229015,-0.20413081622730045
2014-12-03,379.49,381.38,374.1,374.1,74772912.71073525,-0.008560146291044846,-0.048720947973350914
2014-12-07,368.23,376.38,368.23,374.45,38514374.875024594,-0.006210355901165143,-0.13671469740634012
2014-12-11,361.43,361.43,346.91,346.91,118502898.82834333,-0.05417416434920097,-0.12838873395140815
2014-12-15,351.5,351.5,344.62,344.62,30644200.622725755,-0.06467634685846113,-0.11031366980766755
2014-12-19,328.53,328.53,309.77,317.54,60607669.3459044,-0.15653305708290166,-0.10850950335495091
2014-12-23,328.77,333.97,319.5,333.97,58571793.10819222,-0.10727078321304462,0.0067828288918365676
2014-12-27,322.19,327.72,314.57,314.57,145862961.0588076,-0.15991454132728,-0.1250278148642634
2014-12-31,316.49,317.38,310.08,317.38,71036111.34880373,-0.08512294254994102,-0.1907493816772483
2015-01-03,313.99,314.45,286.57,286.57,118778941.40912902,-0.16844640473565087,-0.259413360899341
2015-01-07,260.94,295.87,260.94,295.87,110674232.97875299,-0.06824337091390065,-0.16937113980909602
2015-01-11,284.45,289.57,267.18,267.18,73256737.91089578,-0.19998802287630635,-0.23288064543914555
2015-01-15,268.35,268.35,172.15,210.56,257637517.29041365,-0.33064182852783164,-0.3744318013012864
2015-01-19,205.82,214.55,199.49,214.55,105545327.33818196,-0.3239964711071901,-0.3378086419753086
2015-01-23,210.51,232.9,210.51,232.9,126038219.2115576,-0.1872840841679171,-0.3174691557014331
2015-01-27,248.1,271.29,248.1,259.24,339951744.7443284,-0.12380437354243412,-0.2919841594974737
2015-01-31,232.53,232.53,218.02,218.02,92459195.63435939,-0.18399580806946625,-0.4222033763549148
2015-02-03,226.27,240.02,226.01,226.01,135790231.88905972,0.07337575987841949,-0.4001698558878952
2015-02-07,225.31,227.21,216.91,227.21,80694160.19495533,0.05900722442321138,-0.380527836850428
2015-02-11,222.91,222.91,219.1,219.1,65150873.75436823,-0.0592528982395879,-0.4053467227574976
2015-02-15,222.04,259.01,222.04,233.0,199965387.6619376,-0.10121894769325723,-0.3810927829574734
2015-02-19,235.92,242.46,234.62,240.3,71396084.8246788,0.10219245940739374,-0.35765838011226947
2015-02-23,244.08,244.15,235.55,238.13,61755698.92656742,0.05362594575461266,-0.36405394578715444
2015-02-27,238.73,253.9,236.17,253.9,137186494.71170896,0.11746842128427448,-0.2681098844080597
2015-02-28,253.6,280.62,253.6,280.62,85884430.30666418,0.28078502966681884,-0.1857117985026986
2015-03-07,273.02,275.58,272.34,275.58,50059694.67622344,0.18274678111587983,-0.13214083265100474
2015-03-11,274.58,295.96,274.58,295.96,73794326.12201199,0.23162713275072822,-0.11381261789981145
2015-03-15,293.92,293.92,281.49,285.26,32203956.61897762,0.19791710410280094,-0.09317481005817463
2015-03-19,290.1,290.1,255.61,260.0,133194355.06279549,0.024025206774320518,-0.18079274056336248
2015-03-23,260.91,267.8,259.49,266.03,73040649.64393184,-0.05199201767514805,-0.0716753323795234
2015-03-27,245.17,247.56,245.17,247.15,90325941.05609,-0.10316423543072784,-0.1646669145232703
2015-03-31,252.05,252.05,241.91,243.27,76545513.49477836,-0.1780308149749965,-0.08949023130473832
2015-04-03,246.78,253.62,246.78,253.62,94243302.29425739,-0.11091635700764213,0.20450227963525847
2015-04-07,253.32,259.71,253.21,253.21,88508043.4273131,-0.02611538461538454,0.1801910976462362
2015-04-11,244.27,244.27,234.53,236.45,87634999.71721902,-0.11119046724053672,0.01524259338772005
2015-04-15,235.74,235.74,218.0,223.02,71588917.36395298,-0.09763301638680966,-0.1397160931954945
2015-04-19,228.0,228.0,222.42,222.68,58633108.40665714,-0.08463846754634774,0.021374185854508676
