Date,Open,High,Low,Close,Volume,Ret_5d,Ret_20d,ma
2014-09-27,420.92,420.92,398.01,398.01,16698720.05207724,-0.1718476903870163,-0.3690793228076851,518.8025
2014-09-30,375.99,387.35,373.09,387.35,34519038.81008948,-0.1868886183299046,-0.3741820825591728,507.2225
2014-10-03,380.89,380.89,356.19,356.19,29080111.339532,-0.2470033613090078,-0.4311699511322622,493.72300000000007
2014-10-07,327.88,331.72,325.11,331.72,43924704.45993865,-0.156486802624218,-0.4631841279088584,479.412
2014-10-11,353.39,359.52,353.39,359.52,32266988.405666195,-0.171135446685879,-0.3910362817168603,467.869
2014-10-15,374.17,398.29,374.17,392.19,49257724.14281866,-0.0146227481721564,-0.3274975136321547,458.31949999999995
2014-10-19,379.39,389.12,379.39,386.95,32870166.09728563,-0.0010326578030206,-0.3391908738494117,448.3885
2014-10-23,379.77,382.41,356.2,356.2,48354309.48600327,2.8074903843489096e-05,-0.3933923705722071,436.8385
2014-10-27,354.32,354.32,347.03,348.29,40322147.37977852,0.0499517665501023,-0.3925986641321217,425.5825
2014-10-31,351.56,351.56,333.15,336.59,30524273.859307867,-0.0637794837561193,-0.3162631022995044,417.79800000000006
2014-11-03,323.98,324.0,323.98,324.0,40772300.42284785,-0.1738698080012238,-0.3307859134565734,409.79049999999995
2014-11-07,328.01,347.82,328.01,341.23,40263476.29477718,-0.1181548003618038,-0.3128259862657832,402.0235
2014-11-11,344.18,366.15,344.18,366.15,45679773.63975148,0.0279337450870298,-0.2826917425800764,394.8085
2014-11-15,418.58,418.58,377.33,377.33,99179350.3470273,0.0833787935341237,-0.2139449617732225,389.6735
2014-11-19,387.62,387.62,374.87,376.79,84367865.3742223,0.1194331382394011,-0.2063067427801065,384.7765
2014-11-23,355.39,366.78,349.39,366.78,71063869.31374641,0.1320370370370369,-0.2368289637952559,379.0855
2014-11-27,377.74,377.74,365.77,368.45,70974036.26141815,0.0797702429446414,-0.2265628279944582,373.689
2014-11-30,376.95,376.95,374.96,376.47,74926943.90674321,0.0281851700122901,-0.2041308162273004,368.861
2014-12-03,379.49,381.38,374.1,374.1,74772912.71073525,-0.0085601462910448,-0.0487209479733509,367.903
2014-12-07,368.23,376.38,368.23,374.45,38514374.875024594,-0.0062103559011651,-0.1367146974063401,364.938
2014-12-11,361.43,361.43,346.91,346.91,118502898.82834332,-0.0541741643492009,-0.1283887339514081,362.383
2014-12-15,351.5,351.5,344.62,344.62,30644200.622725755,-0.0646763468584611,-0.1103136698076675,360.24649999999997
2014-12-19,328.53,328.53,309.77,317.54,60607669.3459044,-0.1565330570829016,-0.1085095033549509,358.314
2014-12-23,328.77,333.97,319.5,333.97,58571793.10819222,-0.1072707832130446,0.0067828288918365,358.4265
2014-12-27,322.19,327.72,314.57,314.57,145862961.0588076,-0.15991454132728,-0.1250278148642634,356.17900000000003
2014-12-31,316.49,317.38,310.08,317.38,71036111.34880373,-0.085122942549941,-0.1907493816772483,352.4385
2015-01-03,313.99,314.45,286.57,286.57,118778941.40912902,-0.1684464047356508,-0.259413360899341,347.4195
2015-01-07,260.94,295.87,260.94,295.87,110674232.978753,-0.0682433709139006,-0.169371139809096,344.403
2015-01-11,284.45,289.57,267.18,267.18,73256737.91089578,-0.1999880228763063,-0.2328806454391455,340.3475
2015-01-15,268.35,268.35,172.15,210.56,257637517.29041365,-0.3306418285278316,-0.3744318013012864,334.046
2015-01-19,205.82,214.55,199.49,214.55,105545327.33818196,-0.3239964711071901,-0.3378086419753086,328.5735
2015-01-23,210.51,232.9,210.51,232.9,126038219.2115576,-0.1872840841679171,-0.3174691557014331,323.157
2015-01-27,248.1,271.29,248.1,259.24,339951744.7443284,-0.1238043735424341,-0.2919841594974737,317.8115
2015-01-31,232.53,232.53,218.02,218.02,92459195.6343594,-0.1839958080694662,-0.4222033763549148,309.846
2015-02-03,226.27,240.02,226.01,226.01,135790231.88905972,0.0733757598784194,-0.4001698558878952,302.307
2015-02-07,225.31,227.21,216.91,227.21,80694160.19495533,0.0590072244232113,-0.380527836850428,295.3285
2015-02-11,222.91,222.91,219.1,219.1,65150873.75436823,-0.0592528982395879,-0.4053467227574976,287.861
2015-02-15,222.04,259.01,222.04,233.0,199965387.6619376,-0.1012189476932572,-0.3810927829574734,280.6875
2015-02-19,235.92,242.46,234.62,240.3,71396084.8246788,0.1021924594073937,-0.3576583801122694,273.9975
2015-02-23,244.08,244.15,235.55,238.13,61755698.92656742,0.0536259457546126,-0.3640539457871544,267.1815
2015-02-27,238.73,253.9,236.17,253.9,137186494.71170896,0.1174684212842744,-0.2681098844080597,262.53100000000006
2015-02-28,253.6,280.62,253.6,280.62,85884430.30666418,0.2807850296668188,-0.1857117985026986,259.331
2015-03-07,273.02,275.58,272.34,275.58,50059694.67622344,0.1827467811158798,-0.1321408326510047,257.233
2015-03-11,274.58,295.96,274.58,295.96,73794326.12201199,0.2316271327507282,-0.1138126178998114,255.33250000000004
2015-03-15,293.92,293.92,281.49,285.26,32203956.61897762,0.1979171041028009,-0.0931748100581746,253.86699999999996
2015-03-19,290.1,290.1,255.61,260.0,133194355.06279548,0.0240252067743205,-0.1807927405633624,250.998
2015-03-23,260.91,267.8,259.49,266.03,73040649.64393184,-0.051992017675148,-0.0716753323795234,249.971
2015-03-27,245.17,247.56,245.17,247.15,90325941.05609,-0.1031642354307278,-0.1646669145232703,247.535
2015-03-31,252.05,252.05,241.91,243.27,76545513.49477836,-0.1780308149749965,-0.0894902313047383,246.3395
2015-04-03,246.78,253.62,246.78,253.62,94243302.2942574,-0.1109163570076421,0.2045022796352584,248.4925
2015-04-07,253.32,259.71,253.21,253.21,88508043.4273131,-0.0261153846153845,0.1801910976462362,250.4255
2015-04-11,244.27,244.27,234.53,236.45,87634999.71721902,-0.1111904672405367,0.01524259338772,250.603
2015-04-15,235.74,235.74,218.0,223.02,71588917.36395298,-0.0976330163868096,-0.1397160931954945,248.79199999999997
2015-04-19,228.0,228.0,222.42,222.68,58633108.40665714,-0.0846384675463477,0.0213741858545086,249.025
2015-04-23,224.31,235.17,224.31,235.17,55130032.39951651,-0.0727466288147623,0.0405291801247731,249.483
2015-04-27,230.99,230.99,218.51,228.57,95409417.4905671,-0.0973105327593697,0.005985652039963,249.551
2015-04-30,225.64,236.22,225.64,236.22,103785827.2593271,-0.0009727215056036,0.0781378366042904,250.407
2015-05-03,232.74,239.88,232.74,239.88,86630763.25450982,0.0755986010223297,0.0295278969957082,250.75100000000003
2015-05-07,238.97,238.97,229.82,236.85,74887945.15831198,0.063633914136878,-0.0143570536828964,250.57850000000002
2015-05-11,243.66,243.66,239.55,241.85,70787411.31238237,0.0284049836288642,0.0156217192289924,250.7645
2015-05-15,241.52,241.52,235.48,236.99,39256136.30427565,0.036837730235814,-0.0666010240252067,249.91899999999995
2015-05-19,235.98,236.08,231.94,231.94,31085021.505248632,-0.0181187029040724,-0.1734730240182453,247.48499999999999
2015-05-23,234.05,240.94,234.05,239.03,47757592.65993454,-0.0035434383858595,-0.1326293635242034,245.65749999999997
2015-05-27,241.24,241.24,237.23,237.23,30728765.83133291,0.0016043909647456,-0.1984389782403027,242.721
2015-05-31,237.49,237.49,229.68,229.68,23353985.64778831,-0.0503204465577836,-0.1948397952744863,239.942
2015-06-03,223.32,225.74,223.32,225.48,30472196.11636243,-0.0485674501033799,-0.1327692307692308,238.21600000000004
2015-06-07,224.17,225.29,223.62,223.62,24133822.46700492,-0.0358713460377683,-0.1594181107393901,236.0955
2015-06-11,228.7,229.93,228.7,229.93,28833233.41266869,-0.0380705350792787,-0.0696742868703216,235.23450000000003
